age_v,income_v,employment_length_v,loan_amount_v,loan_interest_rate_v,loan_percent_income_v,credit_history_length_v,age_a,income_a,employment_length_a,loan_amount_a,loan_interest_rate_a,loan_percent_income_a,credit_history_length_a,y,loan_intent,home_ownership,default_on_file,id
22,59000,123.0,35000,16.02,0.59,3,0.014,0.129,0.007,0.234,0.297,0.056,-0.002,0.945,PERSONAL,RENT,Y,0
21,9600,5.0,1000,11.14,0.1,2,-0.031,0.316,0.005,-0.084,-0.043,-0.178,0.018,0.212,EDUCATION,OWN,N,1
25,9600,1.0,5500,12.87,0.57,3,0.005,0.367,0.017,-0.019,0.046,0.375,-0.002,0.999,MEDICAL,MORTGAGE,N,2
23,65500,4.0,35000,15.23,0.53,2,0.008,0.021,-0.025,0.283,0.255,0.138,-0.003,0.887,MEDICAL,RENT,N,3
24,54400,8.0,35000,14.27,0.55,4,0.005,0.134,0.004,0.284,0.163,0.126,-0.003,0.922,MEDICAL,RENT,Y,4
21,9900,2.0,2500,7.14,0.25,2,-0.016,0.654,-0.001,-0.007,-0.054,0.203,0.005,0.993,VENTURE,OWN,N,5
26,77100,8.0,35000,12.42,0.45,3,0.014,0.004,0.022,0.407,0.056,0.094,0.006,0.813,EDUCATION,RENT,N,6
24,78956,5.0,35000,11.11,0.44,4,-0.0,-0.022,-0.083,0.279,0.024,-0.018,-0.01,0.378,MEDICAL,RENT,N,7
24,83000,8.0,35000,8.9,0.42,2,0.029,0.093,0.024,0.351,0.013,0.194,0.006,0.92,PERSONAL,RENT,N,8
21,10000,6.0,1600,14.74,0.16,3,0.007,0.54,-0.017,-0.042,0.107,0.174,-0.005,0.974,VENTURE,OWN,N,9
22,85000,6.0,35000,10.37,0.41,4,0.046,-0.124,0.033,0.455,0.052,0.192,-0.0,0.864,VENTURE,RENT,N,10
21,10000,2.0,4500,8.63,0.45,2,-0.027,0.589,-0.006,-0.022,-0.042,0.286,0.007,0.996,HOMEIMPROVEMENT,OWN,N,11
23,95000,2.0,35000,7.9,0.37,2,0.005,-0.281,0.042,0.27,-0.117,0.107,0.053,0.288,VENTURE,RENT,N,12
26,108160,4.0,35000,18.39,0.32,4,0.013,-0.098,-0.025,0.234,0.438,0.122,-0.007,0.888,EDUCATION,RENT,N,13
23,115000,2.0,35000,7.9,0.3,4,-0.007,-0.229,0.006,0.185,-0.078,-0.081,-0.002,0.003,EDUCATION,RENT,N,14
23,500000,7.0,30000,10.65,0.06,3,-0.009,-0.47,0.01,0.268,-0.003,0.021,-0.011,0.016,DEBTCONSOLIDATION,MORTGAGE,N,15
23,120000,0.0,35000,7.9,0.29,4,-0.009,-0.255,0.01,0.182,-0.057,-0.077,-0.002,0.002,EDUCATION,RENT,N,16
23,92111,7.0,35000,20.25,0.32,4,0.02,-0.175,-0.008,0.277,0.535,0.087,-0.003,0.943,MEDICAL,RENT,N,17
23,113000,8.0,35000,18.25,0.31,4,-0.039,-0.259,-0.044,0.264,0.313,0.082,-0.002,0.524,DEBTCONSOLIDATION,RENT,N,18
24,10800,8.0,1750,10.99,0.16,2,-0.001,0.639,0.011,-0.035,-0.014,0.179,0.009,0.997,EDUCATION,MORTGAGE,N,19
25,162500,2.0,35000,7.49,0.22,4,0.01,-0.291,0.001,0.203,-0.069,-0.049,0.0,0.014,VENTURE,RENT,N,20
25,137000,9.0,34800,16.77,0.25,2,-0.003,-0.324,-0.026,0.198,0.281,-0.124,-0.017,0.196,PERSONAL,RENT,Y,21
22,65000,4.0,34000,17.58,0.52,4,-0.012,-0.147,-0.033,0.304,0.332,0.068,0.003,0.724,EDUCATION,RENT,N,22
24,10980,0.0,1500,7.29,0.14,3,-0.01,0.242,-0.028,-0.043,-0.119,-0.217,-0.003,0.031,PERSONAL,OWN,N,23
22,80000,3.0,33950,14.54,0.42,4,0.016,-0.127,-0.023,0.324,0.237,0.214,0.0,0.85,PERSONAL,RENT,Y,24
24,67746,8.0,33000,12.68,0.49,3,0.007,-0.006,0.001,0.377,0.103,0.073,0.009,0.773,HOMEIMPROVEMENT,RENT,N,25
21,11000,3.0,4575,17.74,0.42,3,-0.015,0.344,-0.01,-0.01,0.229,0.251,0.001,0.999,VENTURE,MORTGAGE,Y,26
23,11000,0.0,1400,9.32,0.13,3,-0.016,0.245,-0.037,-0.04,-0.074,-0.223,-0.003,0.061,PERSONAL,OWN,N,27
24,65000,6.0,32500,9.99,0.5,3,0.036,-0.106,0.032,0.431,0.023,0.066,0.015,0.707,HOMEIMPROVEMENT,RENT,N,28
21,11389,5.0,4000,12.84,0.35,2,-0.02,0.569,-0.02,-0.037,0.026,0.264,0.005,0.998,EDUCATION,OTHER,Y,29
21,11520,5.0,2000,11.12,0.17,3,-0.009,0.65,-0.004,-0.027,-0.016,0.193,0.001,0.997,MEDICAL,OWN,N,30
25,120000,2.0,32000,6.62,0.27,2,0.01,-0.25,-0.006,0.167,-0.063,-0.06,0.006,0.014,VENTURE,RENT,N,31
26,95000,7.0,31050,14.17,0.33,3,0.009,-0.239,-0.001,0.388,0.221,0.115,0.003,0.705,HOMEIMPROVEMENT,RENT,Y,32
25,306000,2.0,24250,13.85,0.08,3,0.004,-0.407,-0.007,0.195,0.01,0.011,-0.003,0.014,DEBTCONSOLIDATION,RENT,N,33
26,300000,10.0,7800,13.49,0.03,4,0.01,-0.191,-0.0,-0.023,0.004,0.016,0.002,0.028,MEDICAL,MORTGAGE,N,34
21,12000,5.0,2500,7.51,0.21,4,-0.015,0.652,-0.002,-0.003,-0.022,0.175,0.002,0.997,EDUCATION,OWN,N,35
22,48000,1.0,30000,18.39,0.63,2,0.013,0.09,0.018,0.258,0.284,0.064,-0.031,0.905,EDUCATION,RENT,N,36
24,64000,8.0,30000,14.54,0.47,3,0.006,0.104,0.02,0.252,0.284,0.067,0.006,0.949,DEBTCONSOLIDATION,RENT,Y,37
25,75000,4.0,30000,16.89,0.4,4,0.002,-0.189,-0.045,0.299,0.296,0.073,-0.003,0.643,HOMEIMPROVEMENT,RENT,Y,38
26,62050,6.0,30000,17.99,0.41,2,0.01,0.0,0.002,0.388,0.252,0.056,-0.022,0.896,MEDICAL,RENT,N,39
24,12000,4.0,2500,12.69,0.21,3,-0.006,0.633,-0.005,-0.022,-0.006,0.189,0.001,0.994,VENTURE,OWN,N,40
26,300000,10.0,20000,7.88,0.07,4,0.008,-0.346,0.015,0.15,-0.07,0.035,-0.0,0.002,VENTURE,MORTGAGE,N,41
23,300000,1.0,24250,19.41,0.08,2,-0.011,-0.471,-0.092,0.191,0.294,0.024,-0.031,0.113,EDUCATION,OWN,Y,42
26,300000,9.0,10000,10.38,0.03,4,0.011,-0.248,0.003,0.017,-0.028,0.043,0.002,0.011,HOMEIMPROVEMENT,OWN,N,43
26,300000,0.0,25000,15.33,0.08,3,0.007,-0.547,0.011,0.187,0.175,0.01,-0.016,0.037,EDUCATION,MORTGAGE,N,44
25,300000,9.0,18000,16.45,0.06,3,0.023,-0.442,0.013,0.097,0.223,0.015,-0.018,0.121,HOMEIMPROVEMENT,MORTGAGE,N,45
26,80690,8.0,30000,7.49,0.37,3,0.031,-0.015,0.004,0.372,-0.048,0.109,0.074,0.738,PERSONAL,RENT,N,46
22,66300,4.0,30000,12.69,0.38,3,-0.007,0.022,-0.032,0.31,0.077,0.149,-0.004,0.725,MEDICAL,RENT,N,47
26,89028,0.0,30000,6.62,0.34,3,0.046,-0.194,0.043,0.238,-0.168,0.17,-0.011,0.334,DEBTCONSOLIDATION,RENT,N,48
23,78000,7.0,30000,18.62,0.38,3,0.003,-0.007,0.025,0.333,0.296,0.08,0.008,0.947,DEBTCONSOLIDATION,RENT,Y,49
23,92004,6.0,30000,15.23,0.33,3,0.012,-0.236,0.001,0.362,0.23,0.122,0.008,0.708,PERSONAL,RENT,Y,50
23,97000,7.0,30000,10.65,0.31,2,0.038,-0.142,0.021,0.352,0.093,0.217,0.103,0.892,VENTURE,RENT,N,51
25,120000,9.0,30000,7.9,0.25,4,0.007,-0.276,0.008,0.19,-0.058,-0.076,-0.002,0.002,EDUCATION,RENT,N,52
26,280000,4.0,10000,15.96,0.04,3,0.017,-0.323,-0.012,0.022,0.166,0.046,-0.007,0.118,PERSONAL,RENT,Y,53
26,277104,0.0,20000,11.48,0.07,3,0.011,-0.392,0.001,0.153,0.006,0.017,-0.003,0.003,VENTURE,RENT,N,54
25,128000,9.0,30000,7.29,0.23,4,0.018,-0.239,0.006,0.2,-0.102,-0.078,-0.002,0.013,PERSONAL,RENT,N,55
21,131000,0.0,30000,5.99,0.23,4,-0.007,-0.246,0.008,0.172,-0.092,-0.045,0.001,0.001,VENTURE,RENT,N,56
22,275000,6.0,12000,11.58,0.04,2,-0.014,-0.228,-0.005,0.038,-0.022,0.033,0.002,0.013,VENTURE,OWN,N,57
25,221850,9.0,25000,15.7,0.1,2,0.058,-0.352,0.036,0.295,0.253,0.06,-0.017,0.542,MEDICAL,MORTGAGE,N,58
22,70000,6.0,29100,15.99,0.42,3,0.052,-0.147,-0.02,0.386,0.287,0.087,-0.002,0.854,EDUCATION,RENT,N,59
22,12000,7.0,1500,14.84,0.13,3,0.004,0.221,-0.051,-0.08,0.186,-0.173,-0.014,0.302,EDUCATION,MORTGAGE,Y,60
26,260000,10.0,28000,10.99,0.11,3,0.022,-0.414,0.014,0.213,-0.027,0.006,-0.006,0.017,HOMEIMPROVEMENT,OWN,N,61
25,259000,9.0,20000,14.42,0.08,2,0.017,-0.489,0.01,0.133,0.162,0.01,-0.006,0.046,HOMEIMPROVEMENT,MORTGAGE,Y,62
24,255000,9.0,9600,6.99,0.04,2,0.003,-0.153,0.001,0.007,-0.077,0.011,-0.002,0.0,EDUCATION,MORTGAGE,N,63
25,250000,2.0,25000,13.49,0.1,4,0.006,-0.387,-0.008,0.214,0.014,-0.019,-0.002,0.027,MEDICAL,RENT,N,64
21,12000,6.0,3000,13.61,0.25,3,-0.008,0.636,-0.006,-0.021,-0.008,0.192,0.0,0.995,EDUCATION,OWN,Y,65
23,65000,2.0,28000,7.9,0.43,2,0.025,-0.088,0.016,0.335,-0.018,0.209,-0.01,0.679,EDUCATION,RENT,N,66
26,85000,2.0,28000,7.49,0.33,3,0.058,-0.13,0.022,0.307,-0.006,0.221,0.027,0.708,VENTURE,RENT,N,67
26,12000,2.0,6100,7.51,0.51,3,0.007,0.497,-0.009,-0.019,-0.044,0.355,0.002,0.999,EDUCATION,OWN,N,68
22,88000,6.0,28000,9.91,0.32,3,0.01,-0.227,-0.02,0.137,-0.072,0.055,-0.007,0.086,VENTURE,RENT,N,69
21,12000,0.0,4200,13.48,0.35,4,-0.02,0.432,0.026,-0.034,0.031,0.354,0.0,0.998,PERSONAL,OWN,Y,70
22,12000,6.0,4750,7.14,0.4,2,-0.017,0.591,-0.011,-0.026,-0.063,0.31,0.0,0.994,DEBTCONSOLIDATION,OWN,N,71
24,83004,0.0,28000,15.99,0.34,4,0.024,0.029,0.076,0.15,0.317,0.095,-0.016,0.885,VENTURE,RENT,Y,72
24,250000,2.0,18000,12.98,0.07,3,0.003,-0.316,-0.002,0.095,0.018,0.002,-0.005,0.005,EDUCATION,RENT,Y,73
144,250000,4.0,4800,13.57,0.02,3,-0.034,-0.143,-0.006,-0.028,0.002,-0.002,0.002,0.002,VENTURE,RENT,N,74
25,100000,5.0,28000,12.69,0.28,3,0.026,-0.284,-0.012,0.183,0.009,-0.09,-0.013,0.028,DEBTCONSOLIDATION,RENT,N,75
26,110000,10.0,28000,8.9,0.25,2,0.015,-0.228,0.003,0.145,-0.053,-0.082,-0.004,0.005,EDUCATION,RENT,N,76
23,151200,7.0,28000,11.11,0.19,2,0.014,-0.343,0.006,0.179,-0.018,-0.038,0.004,0.013,DEBTCONSOLIDATION,RENT,N,77
21,12000,5.0,3250,15.68,0.27,3,-0.007,0.539,-0.038,-0.016,0.184,0.126,-0.004,0.993,DEBTCONSOLIDATION,MORTGAGE,Y,78
22,70000,4.0,27500,13.06,0.39,3,0.014,-0.101,0.02,0.383,0.136,0.116,0.012,0.791,EDUCATION,RENT,Y,79
26,73200,5.0,27050,15.62,0.37,2,0.03,0.071,-0.027,0.281,0.238,0.061,-0.007,0.858,VENTURE,RENT,Y,80
24,83000,5.0,27000,13.49,0.33,2,0.025,0.014,-0.019,0.298,0.093,0.187,-0.013,0.795,PERSONAL,RENT,Y,81
23,62500,7.0,26000,11.71,0.42,2,0.03,-0.049,-0.041,0.297,-0.027,0.025,-0.002,0.443,MEDICAL,RENT,N,82
23,120000,1.0,25600,12.69,0.21,3,0.008,-0.366,0.011,0.183,0.014,-0.04,-0.009,0.011,EDUCATION,RENT,N,83
24,12360,2.0,1600,13.57,0.13,3,-0.001,0.232,-0.012,-0.086,-0.022,-0.213,-0.007,0.1,MEDICAL,OWN,N,84
22,60000,0.0,25475,10.99,0.42,3,0.074,-0.033,0.043,0.342,0.084,0.243,-0.022,0.941,VENTURE,RENT,N,85
