id,GRE_Score_v,TOEFL_Score_v,University_Rating_v,SOP_v,y
0,337,118,4,4.5,0.996
1,324,107,4,4,0.521
2,316,104,3,3,0.01
3,322,110,3,3.5,0.208
4,314,103,2,2,0.002
5,330,115,5,4.5,0.963
6,321,109,3,3,0.082
7,308,101,2,3,0.001
8,302,102,1,2,0
9,323,108,3,3.5,0.057
10,325,106,3,3.5,0.11
11,327,111,4,4,0.813
12,328,112,4,4,0.884
13,307,109,3,4,0.013
14,311,104,3,3.5,0.007
15,314,105,3,3.5,0.006
16,317,107,3,4,0.045
17,319,106,3,4,0.017
18,318,110,3,4,0.11
19,303,102,3,3.5,0.004
20,312,107,3,3,0.006
21,325,114,4,3,0.102
22,328,116,5,5,0.991
23,334,119,5,5,0.998
24,336,119,5,4,0.998
25,340,120,5,4.5,0.998
26,322,109,5,4.5,0.268
27,298,98,2,1.5,0
28,295,93,1,2,0
29,310,99,2,1.5,0
30,300,97,2,3,0.001
31,327,103,3,4,0.057
32,338,118,4,3,0.991
33,340,114,5,4,0.993
34,331,112,5,4,0.993
35,320,110,5,5,0.89
36,299,106,2,4,0.005
37,300,105,1,1,0
38,304,105,1,3,0
39,307,108,2,4,0.001
40,308,110,3,3.5,0.017
41,316,105,2,2.5,0.01
42,313,107,2,2.5,0.023
43,332,117,4,4.5,0.881
44,326,113,5,4.5,0.961
45,322,110,5,5,0.817
46,329,114,5,4,0.976
47,339,119,5,4.5,0.994
48,321,110,3,3.5,0.551
49,327,111,4,3,0.345
50,313,98,3,2.5,0.009
51,312,100,2,1.5,0.002
52,334,116,4,4,0.333
53,324,112,4,4,0.111
54,322,110,3,3,0.016
55,320,103,3,3,0.001
56,316,102,3,2,0
57,298,99,2,4,0
58,300,99,1,3,0
59,311,104,2,2,0.002
60,309,100,2,3,0.001
61,307,101,3,4,0.002
62,304,105,2,3,0.006
63,315,107,2,4,0.046
64,325,111,3,3,0.167
65,325,112,4,3.5,0.42
66,327,114,3,3,0.467
67,316,107,2,3.5,0.085
68,318,109,3,3.5,0.617
69,328,115,4,4.5,0.934
70,332,118,5,5,0.997
71,336,112,5,5,0.995
72,321,111,5,5,0.957
73,314,108,4,4.5,0.487
74,314,106,3,3,0.108
75,329,114,2,2,0.429
76,327,112,3,3,0.428
77,301,99,2,3,0
78,296,95,2,3,0
79,294,93,1,1.5,0
80,312,105,3,2,0.007
81,340,120,4,5,0.997
82,320,110,5,5,0.874
83,322,115,5,4,0.967
84,340,115,5,4.5,0.993
85,319,103,4,4.5,0.039
86,315,106,3,4.5,0.019
87,317,107,2,3.5,0.009
88,314,108,3,4.5,0.011
89,316,109,4,4.5,0.317
90,318,106,2,4,0.013
91,299,97,3,5,0
92,298,98,2,4,0
93,301,97,2,3,0
94,303,99,3,2,0
95,304,100,4,1.5,0
96,306,100,2,3,0
97,331,120,3,4,0.944
98,332,119,4,5,0.986
99,323,113,3,4,0.657
100,322,107,3,3.5,0.106
101,312,105,2,2.5,0.002
102,314,106,2,4,0.007
103,317,104,2,4.5,0.014
104,326,112,3,3.5,0.664
105,316,110,3,4,0.376
106,329,111,4,4.5,0.9
107,338,117,4,3.5,0.991
108,331,116,5,5,0.99
109,304,103,5,5,0.026
110,305,108,5,3,0.025
111,321,109,4,4,0.376
112,301,107,3,3.5,0.019
113,320,110,2,4,0.055
114,311,105,3,3.5,0.029
115,310,106,4,4.5,0.376
116,299,102,3,4,0.005
117,290,104,4,2,0
118,296,99,2,3,0
119,327,104,5,3,0.364
120,335,117,5,5,0.996
121,334,119,5,4.5,0.995
122,310,106,4,1.5,0.008
123,308,108,3,3.5,0.009
124,301,106,4,2.5,0.008
125,300,100,3,2,0.008
126,323,113,3,4,0.823
127,319,112,3,2.5,0.207
128,326,112,3,3.5,0.696
129,333,118,5,5,0.993
130,339,114,5,4,0.996
131,303,105,5,5,0.045
132,309,105,5,3.5,0.029
133,323,112,5,4,0.494
134,333,113,5,4,0.963
135,314,109,4,3.5,0.318
136,312,103,3,5,0.012
137,316,100,2,1.5,0.004
138,326,116,2,4.5,0.785
139,318,109,1,3.5,0.127
140,329,110,2,4,0.613
141,332,118,2,4.5,0.959
142,331,115,5,4,0.978
143,340,120,4,4.5,0.999
144,325,112,2,3,0.533
145,320,113,2,2,0.183
146,315,105,3,2,0.009
147,326,114,3,3,0.769
148,339,116,4,4,0.995
149,311,106,2,3.5,0.014
150,334,114,4,4,0.974
151,332,116,5,5,0.987
152,321,112,5,5,0.894
153,324,105,3,3,0.075
154,326,108,3,3,0.172
155,312,109,3,3,0.042
156,315,105,3,2,0.006
157,309,104,2,2,0.002
158,306,106,2,2,0.002
159,297,100,1,1.5,0
160,315,103,1,1.5,0
161,298,99,1,1.5,0
162,318,109,3,3,0.036
163,317,105,3,3.5,0.019
164,329,111,4,4.5,0.814
165,322,110,5,4.5,0.479
166,302,102,3,3.5,0.005
167,313,102,3,2,0.003
168,293,97,2,2,0
169,311,99,2,2.5,0
170,312,101,2,2.5,0.003
171,334,117,5,4,0.976
172,322,110,4,4,0.823
173,323,113,4,4,0.908
174,321,111,4,4,0.681
175,320,111,4,4.5,0.557
176,329,119,4,4.5,0.976
177,319,110,3,3.5,0.241
178,309,108,3,2.5,0.005
179,307,102,3,3,0.002
180,300,104,3,3.5,0.002
181,305,107,2,2.5,0.004
182,299,100,2,3,0
183,314,110,3,4,0.126
184,316,106,2,2.5,0.01
185,327,113,4,4.5,0.905
186,317,107,3,3.5,0.116
187,335,118,5,4.5,0.991
188,331,115,5,4.5,0.974
189,324,112,5,5,0.917
190,324,111,5,4.5,0.876
191,323,110,5,4,0.822
192,322,114,5,4.5,0.853
193,336,118,5,4.5,0.997
194,316,109,3,3.5,0.069
195,307,107,2,3,0.032
196,306,105,2,3,0.002
197,310,106,2,3.5,0.004
198,311,104,3,4.5,0.015
199,313,107,3,4,0.062
200,317,103,3,2.5,0.034
201,315,110,2,3.5,0.069
202,340,120,5,4.5,0.999
203,334,120,5,4,0.999
204,298,105,3,3.5,0.008
205,295,99,2,2.5,0
206,315,99,2,3.5,0
207,310,102,3,3.5,0.006
208,305,106,2,3,0.002
209,301,104,3,3.5,0.007
210,325,108,4,4.5,0.68
211,328,110,4,5,0.838
212,338,120,4,5,0.998
213,333,119,5,5,0.998
214,331,117,4,4.5,0.989
215,330,116,5,5,0.986
216,322,112,4,4.5,0.896
217,321,109,4,4,0.698
218,324,110,4,3,0.609
219,312,104,3,3.5,0.009
220,313,103,3,4,0.028
221,316,110,3,3.5,0.071
222,324,113,4,4.5,0.434
223,308,109,2,3,0.017
224,305,105,2,3,0.001
225,296,99,2,2.5,0
226,306,110,2,3.5,0.019
227,312,110,2,3.5,0.023
228,318,112,3,4,0.134
229,324,111,4,3,0.634
230,313,104,3,4,0.031
231,319,106,3,3.5,0.034
232,312,107,2,2.5,0.007
233,304,100,2,2.5,0.001
234,330,113,5,5,0.963
235,326,111,5,4.5,0.909
236,325,112,4,4,0.885
237,329,114,5,4.5,0.968
238,310,104,3,2,0.006
239,299,100,1,1.5,0
